iter	Passed	Remaining
0	163	163152
1	203	101666
2	230	76454
3	258	64415
4	284	56572
5	312	51819
6	345	48951
7	373	46286
8	397	43810
9	422	41784
10	448	40320
11	470	38734
12	495	37585
13	520	36678
14	543	35667
15	568	34977
16	589	34076
17	610	33300
18	635	32795
19	658	32252
20	685	31954
21	709	31520
22	732	31133
23	760	30925
24	782	30534
25	807	30254
26	830	29918
27	854	29672
28	881	29521
29	907	29352
30	931	29125
31	955	28908
32	978	28680
33	1001	28454
34	1026	28310
35	1049	28090
36	1075	27979
37	1100	27852
38	1123	27695
39	1148	27561
40	1170	27379
41	1196	27282
42	1217	27099
43	1244	27030
44	1266	26877
45	1290	26753
46	1317	26712
47	1339	26576
48	1365	26503
49	1387	26354
50	1410	26241
51	1432	26123
52	1457	26035
53	1480	25938
54	1505	25863
55	1531	25820
56	1554	25719
57	1580	25663
58	1607	25631
59	1630	25544
60	1654	25474
61	1678	25399
62	1700	25294
63	1725	25236
64	1749	25172
65	1776	25143
66	1799	25058
67	1824	25001
68	1847	24922
69	1870	24856
70	1894	24794
71	1920	24750
72	1944	24697
73	1970	24653
74	1993	24583
75	2017	24524
76	2044	24503
77	2071	24491
78	2105	24544
79	2133	24532
80	2160	24510
81	2193	24552
82	2222	24553
83	2262	24671
84	2291	24669
85	2328	24746
86	2369	24866
87	2396	24832
88	2428	24854
89	2467	24945
90	2499	24966
91	2531	24987
92	2562	24995
93	2599	25056
94	2633	25091
95	2661	25065
96	2698	25121
97	2726	25094
98	2752	25046
99	2778	25005
100	2804	24964
101	2834	24958
102	2866	24961
103	2894	24933
104	2950	25148
105	3015	25430
106	3075	25664
107	3125	25813
108	3169	25907
109	3203	25916
110	3237	25926
111	3272	25946
112	3304	25937
113	3339	25954
114	3372	25955
115	3411	25996
116	3449	26036
117	3483	26038
118	3513	26015
119	3544	25991
120	3574	25966
121	3608	25969
122	3646	25998
123	3727	26331
124	3758	26308
125	3823	26522
126	3889	26735
127	3944	26868
128	3993	26967
129	4042	27054
130	4077	27050
131	4112	27043
132	4146	27026
133	4177	26999
134	4213	26999
135	4247	26987
136	4278	26950
137	4313	26943
138	4342	26899
139	4380	26907
140	4412	26883
141	4446	26867
142	4478	26838
143	4511	26816
144	4547	26817
145	4578	26781
146	4610	26753
147	4647	26757
148	4686	26764
149	4722	26761
150	4754	26734
151	4791	26729
152	4819	26682
153	4859	26697
154	4900	26718
155	4933	26690
156	4963	26650
157	5000	26647
158	5029	26605
159	5061	26574
160	5097	26561
161	5137	26576
162	5173	26566
163	5207	26547
164	5248	26560
165	5273	26496
166	5303	26453
167	5325	26376
168	5350	26310
169	5377	26256
170	5403	26194
171	5446	26219
172	5470	26151
173	5504	26131
174	5536	26101
175	5567	26066
176	5606	26069
177	5645	26069
178	5677	26042
179	5716	26041
180	5742	25985
181	5771	25940
182	5797	25883
183	5822	25823
184	5849	25769
185	5872	25701
186	5895	25630
187	5920	25573
188	5943	25503
189	5971	25459
190	5999	25413
191	6026	25361
192	6078	25416
193	6122	25435
194	6148	25383
195	6181	25358
196	6217	25344
197	6254	25334
198	6289	25315
199	6332	25331
200	6374	25339
201	6409	25319
202	6436	25270
203	6458	25200
204	6483	25142
205	6506	25079
206	6530	25015
207	6557	24967
208	6581	24908
209	6608	24860
210	6635	24811
211	6662	24766
212	6693	24733
213	6721	24685
214	6754	24661
215	6784	24625
216	6826	24631
217	6855	24591
218	6896	24594
219	6929	24567
220	6965	24551
221	7019	24600
222	7067	24626
223	7120	24666
224	7175	24715
225	7216	24713
226	7250	24690
227	7291	24688
228	7322	24653
229	7364	24656
230	7392	24610
231	7430	24598
232	7468	24583
233	7507	24574
234	7537	24536
235	7571	24511
236	7601	24473
237	7638	24456
238	7661	24395
239	7688	24345
240	7712	24290
241	7739	24243
242	7767	24196
243	7793	24146
244	7819	24096
245	7846	24050
246	7874	24006
247	7898	23951
248	7923	23897
249	7951	23853
250	7974	23797
251	8002	23754
252	8030	23710
253	8056	23661
254	8090	23637
255	8121	23603
256	8163	23600
257	8195	23569
258	8230	23547
259	8266	23526
260	8298	23496
261	8326	23453
262	8351	23403
263	8381	23366
264	8407	23320
265	8451	23320
266	8482	23286
267	8522	23278
268	8554	23246
269	8597	23245
270	8632	23220
271	8660	23180
272	8691	23146
273	8718	23101
