iter	Passed	Remaining
0	39	39294
1	67	33615
2	92	30626
3	115	28866
4	139	27805
5	165	27392
6	190	26958
7	214	26549
8	239	26316
9	264	26180
10	287	25845
11	311	25635
12	336	25511
13	360	25359
14	385	25302
15	408	25126
16	432	25026
17	455	24876
18	480	24815
19	504	24742
20	528	24651
21	552	24556
22	578	24590
23	604	24565
24	628	24512
25	652	24439
26	675	24332
27	698	24237
28	721	24168
29	744	24076
30	769	24049
31	792	23972
32	816	23927
33	839	23853
34	863	23801
35	886	23748
36	910	23696
37	933	23627
38	956	23577
39	983	23613
40	1010	23632
41	1034	23594
42	1058	23565
43	1082	23517
44	1106	23488
45	1129	23428
46	1153	23384
47	1177	23345
48	1201	23309
49	1223	23247
50	1247	23206
51	1270	23157
52	1293	23108
53	1316	23063
54	1340	23034
55	1365	23021
56	1388	22973
57	1412	22946
58	1436	22916
59	1462	22906
60	1486	22878
61	1511	22865
62	1535	22832
63	1558	22797
64	1583	22772
65	1607	22741
66	1631	22724
67	1656	22702
68	1679	22662
69	1704	22649
70	1726	22592
71	1749	22545
72	1774	22531
73	1798	22508
74	1821	22461
75	1843	22415
76	1867	22382
77	1890	22347
78	1914	22316
79	1939	22298
80	1962	22266
81	1987	22248
82	2010	22214
83	2034	22187
84	2058	22154
85	2081	22123
86	2106	22101
87	2130	22082
88	2154	22052
89	2178	22028
90	2202	22000
91	2225	21966
92	2249	21936
93	2273	21908
94	2296	21880
95	2320	21848
96	2344	21829
97	2368	21802
98	2393	21782
99	2417	21755
100	2440	21723
101	2463	21692
102	2488	21672
103	2513	21657
104	2535	21615
105	2560	21593
106	2582	21549
107	2604	21509
108	2627	21475
109	2651	21449
110	2675	21425
111	2698	21395
112	2722	21368
113	2745	21339
114	2770	21318
115	2793	21290
116	2816	21257
117	2840	21232
118	2864	21206
119	2888	21184
120	2912	21156
121	2936	21130
122	2959	21104
123	2984	21082
124	3007	21054
125	3031	21027
126	3055	21004
127	3078	20971
128	3102	20948
129	3126	20920
130	3150	20896
131	3173	20865
132	3196	20835
133	3219	20805
134	3241	20771
135	3265	20748
136	3288	20716
137	3313	20694
138	3338	20678
139	3362	20652
140	3386	20628
141	3410	20607
142	3434	20582
143	3458	20556
144	3481	20529
145	3505	20506
146	3528	20476
147	3552	20452
148	3576	20425
149	3599	20399
150	3622	20369
151	3646	20346
152	3671	20326
153	3695	20303
154	3718	20273
155	3743	20250
156	3766	20226
157	3790	20197
158	3814	20177
159	3838	20154
160	3862	20126
161	3886	20102
162	3910	20078
163	3933	20053
164	3957	20024
165	3978	19990
166	4002	19963
167	4025	19938
168	4049	19913
169	4074	19893
170	4098	19868
171	4121	19840
172	4145	19817
173	4167	19783
174	4191	19758
175	4214	19732
176	4238	19708
177	4263	19687
178	4286	19659
179	4310	19634
180	4334	19610
181	4357	19586
182	4381	19559
183	4407	19546
184	4432	19525
185	4456	19502
186	4478	19472
187	4502	19445
188	4526	19425
189	4550	19397
190	4573	19370
191	4596	19344
192	4620	19321
193	4644	19297
194	4668	19271
195	4692	19247
196	4715	19222
197	4739	19196
198	4762	19170
199	4786	19144
200	4809	19120
201	4833	19096
202	4857	19071
203	4880	19044
204	4904	19019
205	4928	18995
206	4952	18973
207	4976	18948
208	5000	18927
209	5024	18900
210	5045	18867
211	5069	18843
212	5093	18818
213	5118	18798
214	5141	18771
215	5164	18744
216	5188	18723
217	5212	18698
218	5235	18671
219	5259	18647
220	5284	18626
221	5307	18600
222	5332	18579
223	5355	18553
224	5378	18527
225	5402	18503
226	5426	18479
227	5450	18454
228	5474	18431
229	5498	18408
230	5521	18380
231	5545	18356
232	5569	18332
233	5591	18304
234	5615	18279
235	5639	18255
236	5662	18230
237	5686	18206
238	5709	18179
239	5733	18154
240	5757	18131
241	5780	18106
242	5804	18082
243	5827	18056
244	5851	18031
245	5875	18008
246	5899	17984
247	5924	17963
248	5947	17938
249	5972	17918
250	5996	17895
251	6020	17871
252	6045	17850
253	6070	17828
254	6092	17800
255	6117	17778
256	6140	17753
257	6165	17730
258	6188	17705
259	6210	17677
260	6235	17654
261	6259	17631
262	6282	17606
263	6305	17579
264	6329	17554
265	6353	17531
266	6377	17507
267	6399	17480
268	6422	17453
269	6447	17431
270	6472	17409
271	6496	17387
272	6520	17363
273	6544	17341
274	6569	17319
275	6593	17295
276	6616	17269
277	6639	17242
278	6663	17219
279	6686	17194
280	6710	17170
281	6735	17148
282	6759	17124
283	6782	17098
284	6805	17073
285	6829	17049
286	6852	17024
287	6875	16998
288	6898	16972
289	6922	16948
290	6947	16925
291	6971	16902
292	7000	16892
293	7026	16874
294	7051	16852
295	7077	16833
296	7103	16813
297	7128	16792
298	7152	16769
299	7178	16748
300	7202	16726
301	7228	16707
302	7252	16684
303	7277	16661
304	7301	16638
305	7326	16617
306	7349	16590
307	7373	16566
308	7396	16540
309	7420	16517
310	7444	16493
311	7469	16472
312	7493	16447
313	7517	16422
314	7540	16398
315	7564	16373
316	7587	16348
317	7612	16326
318	7636	16302
319	7660	16278
320	7685	16256
321	7709	16233
322	7733	16208
323	7757	16185
324	7780	16159
325	7804	16136
326	7828	16112
327	7852	16087
328	7875	16061
329	7898	16037
330	7923	16015
331	7946	15988
332	7970	15965
333	7994	15940
334	8018	15917
335	8041	15891
336	8065	15866
337	8087	15840
338	8111	15815
339	8135	15792
340	8159	15768
341	8183	15744
